time_s,p_hull_kg_m_s,p_photon_kg_m_s,p_total_kg_m_s
2.33e-07,-5.0374170071137314e-08,5.037417007113818e-08,8.66885281955573e-22
2.34e-07,-4.5395675965700216e-08,4.539567596570108e-08,8.66885281955573e-22
2.3500000000000003e-07,-4.041718186026312e-08,4.0417181860263984e-08,8.66885281955573e-22
2.3600000000000002e-07,-3.543868775482602e-08,3.543868775482689e-08,8.735027268559972e-22
2.3700000000000002e-07,-3.046019364938892e-08,3.0460193649389795e-08,8.735027268559972e-22
2.3800000000000001e-07,-2.5481699543951823e-08,2.54816995439527e-08,8.768114493062093e-22
2.39e-07,-2.0503205438514725e-08,2.0503205438515605e-08,8.801201717564214e-22
2.4000000000000003e-07,-1.5524711333077627e-08,1.5524711333078507e-08,8.801201717564214e-22
2.41e-07,-1.0546217227640528e-08,1.0546217227641412e-08,8.834288942066336e-22
2.42e-07,-5.56772312220343e-09,5.567723122204317e-09,8.867376166568457e-22
2.43e-07,-5.892290167663337e-10,5.892290167672212e-10,8.875647972693987e-22
2.44e-07,4.389265088670763e-09,-4.3892650886698745e-09,8.883919778819517e-22
2.4500000000000004e-07,-5.84250522660895e-10,5.842505226617842e-10,8.892191584945048e-22
2.46e-07,-5.557766133992553e-09,5.557766133993443e-09,8.900463391070578e-22
2.4700000000000003e-07,-1.0531281745324212e-08,1.0531281745325103e-08,8.900463391070578e-22
2.48e-07,-1.5504797356655872e-08,1.550479735665676e-08,8.867376166568457e-22
2.49e-07,-2.047831296798753e-08,2.0478312967988418e-08,8.867376166568457e-22
2.5000000000000004e-07,-2.545182857931919e-08,2.5451828579320078e-08,8.867376166568457e-22
2.51e-07,-3.042534419065085e-08,3.042534419065174e-08,8.867376166568457e-22
2.5200000000000003e-07,-3.539885980198251e-08,3.53988598019834e-08,8.867376166568457e-22
2.53e-07,-4.037237541331417e-08,4.0372375413315057e-08,8.867376166568457e-22
2.54e-07,-4.534589102464583e-08,4.5345891024646716e-08,8.867376166568457e-22
2.55e-07,-5.031940663597749e-08,5.031940663597837e-08,8.801201717564214e-22
2.56e-07,-5.529292224730915e-08,5.529292224731003e-08,8.801201717564214e-22
2.5700000000000004e-07,-6.02664378586408e-08,6.02664378586417e-08,8.999725064576941e-22
2.58e-07,-6.523995346997244e-08,6.523995346997335e-08,9.132073962585426e-22
2.5900000000000003e-07,-7.021346908130409e-08,7.0213469081305e-08,9.132073962585426e-22
2.6e-07,-7.518698469263573e-08,7.518698469263666e-08,9.26442286059391e-22
2.61e-07,-8.016050030396738e-08,8.016050030396832e-08,9.396771758602394e-22
