Time_s,ChassisPosition_m,ChassisVelocity_ms,ChassisMomentum_kgms,PacketPosition_m,PacketEnergy_J,SystemCenterOfMass_m,LorentzGamma,ThermalLoss_J,TotalEnergy_J
1.1758000000000763e-06,-1.0899632341373484e-05,246.71842128535758,246718.42128544115,7.931421140167623,73964321951041.92,-4.372354123481247e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1759000000000763e-06,-1.0874960499244948e-05,246.71842128535758,246718.42128544115,7.901441919039465,73964321951041.92,-4.372354103177224e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1760000000000763e-06,-1.0850288657116413e-05,246.71842128535758,246718.42128544115,7.871462697911308,73964321951041.92,-4.3723540828732e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1761000000000763e-06,-1.0825616814987877e-05,246.71842128535758,246718.42128544115,7.84148347678315,73964321951041.92,-4.372354062569177e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1762000000000763e-06,-1.0800944972859341e-05,246.71842128535758,246718.42128544115,7.8115042556549925,73964321951041.92,-4.372354042265155e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1763000000000763e-06,-1.0776273130730806e-05,246.71842128535758,246718.42128544115,7.781525034526835,73964321951041.92,-4.3723540219611315e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1764000000000763e-06,-1.075160128860227e-05,246.71842128535758,246718.42128544115,7.751545813398677,73964321951041.92,-4.372354001657108e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1765000000000763e-06,-1.0726929446473735e-05,246.71842128535758,246718.42128544115,7.72156659227052,73964321951041.92,-4.3723539813530845e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1766000000000763e-06,-1.0702257604345199e-05,246.71842128535758,246718.42128544115,7.691587371142362,73964321951041.92,-4.372353961049063e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1767000000000763e-06,-1.0677585762216663e-05,246.71842128535758,246718.42128544115,7.661608150014205,73964321951041.92,-4.372353940745039e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1768000000000763e-06,-1.0652913920088128e-05,246.71842128535758,246718.42128544115,7.631628928886047,73964321951041.92,-4.372353920441016e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1769000000000763e-06,-1.0628242077959592e-05,246.71842128535758,246718.42128544115,7.60164970775789,73964321951041.92,-4.372353900136992e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1770000000000764e-06,-1.0603570235831056e-05,246.71842128535758,246718.42128544115,7.571670486629732,73964321951041.92,-4.372353879832971e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1771000000000764e-06,-1.057889839370252e-05,246.71842128535758,246718.42128544115,7.541691265501575,73964321951041.92,-4.372353859528947e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
